Color Name,Hex Code
Apple Green,#6d9735
Beige,#c39e67
Black,#000000
Blood Orange,#bd4a37
Burgundy,#a13640
Camel,#826557
Coral,#db7c61
Dark Gray,#3a3a3a
Dark Green,#29443f
Deep Pink,#da9792
Egglant,#2e2833
Gray,#90908b
Green,#327158
Indigo,#38394c
Lemon,#e2d242
Lilac,#b9adcf
Mint,#95c9ac
Navy,#303f56
Neon Blue,#3b6bbf
Neon Coral,#f35d60
Neon Green,#43ac7b
Neon Orange,#ee6d30
Neon Pink,#f3577a
Neon Purple,#aa3ea2
Neon Yellow,#c7e44f
Olive,#313428
Orange,#ca5b2c
Pacific,#5fa79f
Pastel Blue,#6eabd6
Pastel Pink,#ddbbbe
Red,#9a3336
Salmon,#d39ea4
Sky Blue,#64a4c5
Tangerine,#ca8414
Tiffany,#6bb1c0
Yellow,#d7ba16
